id,patient_text,relative_text,severity
1565,I feel worried about everything,Appears emotionally distant,8
1566,I feel stressed and overwhelmed,Often prefers to stay alone,4
1567,I feel tired and hopeless,Appears emotionally distant,8
1568,I feel motivated and energetic,Actively interacts with family,9
1569,I feel emotionally numb,Appears emotionally distant,7
1570,I feel anxious most of the day,No major change noticed,6
1571,I feel anxious most of the day,Actively interacts with family,10
1572,I feel disconnected from people,Mood fluctuates frequently,5
1573,I feel stressed and overwhelmed,She seems withdrawn and quiet,8
1574,I feel anxious most of the day,She seems withdrawn and quiet,7
1575,I feel worried about everything,She seems withdrawn and quiet,9
1576,I feel emotionally numb,She seems withdrawn and quiet,5
1577,I feel stressed and overwhelmed,Mood fluctuates frequently,8
1578,I feel worried about everything,Often prefers to stay alone,1
1579,I feel calm and normal,She seems withdrawn and quiet,3
1580,I feel worried about everything,Mood fluctuates frequently,8
1581,I feel calm and normal,Mood fluctuates frequently,3
1582,I feel fine and stable,Shows signs of irritability,9
1583,I feel disconnected from people,Seems happy and social,1
1584,I feel stressed and overwhelmed,Behavior appears normal,7
1585,I feel tired and hopeless,Actively interacts with family,9
1586,I feel anxious most of the day,Shows signs of irritability,3
1587,I feel stressed and overwhelmed,Shows signs of irritability,6
1588,I feel anxious most of the day,Behavior appears normal,3
1589,I feel worried about everything,Seems happy and social,2
1590,I feel calm and normal,Mood fluctuates frequently,6
1591,I feel calm and normal,Actively interacts with family,9
1592,I feel emotionally numb,Behavior appears normal,1
1593,I feel fine and stable,Actively interacts with family,7
1594,I feel calm and normal,No major change noticed,4
1595,I feel motivated and energetic,Behavior appears normal,7
1596,I feel disconnected from people,Mood fluctuates frequently,1
1597,I feel disconnected from people,Mood fluctuates frequently,7
1598,I feel calm and normal,Seems happy and social,2
1599,I feel anxious most of the day,Actively interacts with family,3
1600,I feel tired and hopeless,Appears emotionally distant,10
1601,I feel anxious most of the day,Shows signs of irritability,10
1602,I feel worried about everything,She seems withdrawn and quiet,8
1603,I feel sad without any clear reason,Often prefers to stay alone,3
1604,I feel worried about everything,She seems withdrawn and quiet,7
1605,I feel stressed and overwhelmed,No major change noticed,7
1606,I feel tired and hopeless,Mood fluctuates frequently,9
1607,I feel stressed and overwhelmed,Actively interacts with family,7
1608,I feel fine and stable,No major change noticed,2
1609,I feel sad without any clear reason,Seems happy and social,6
1610,I feel sad without any clear reason,Appears emotionally distant,4
1611,I feel anxious most of the day,Appears emotionally distant,8
1612,I feel tired and hopeless,He avoids family and sleeps a lot,6
1613,I feel stressed and overwhelmed,He avoids family and sleeps a lot,3
1614,I feel calm and normal,Seems happy and social,1
1615,I feel emotionally numb,Seems happy and social,5
1616,I feel emotionally numb,Mood fluctuates frequently,8
1617,I feel emotionally numb,Shows signs of irritability,5
1618,I feel calm and normal,Shows signs of irritability,1
1619,I feel disconnected from people,Shows signs of irritability,4
1620,I feel disconnected from people,Behavior appears normal,4
1621,I feel calm and normal,Shows signs of irritability,6
1622,I feel tired and hopeless,No major change noticed,1
1623,I feel fine and stable,He avoids family and sleeps a lot,1
1624,I feel fine and stable,Behavior appears normal,10
1625,I feel motivated and energetic,Appears emotionally distant,4
1626,I feel tired and hopeless,Often prefers to stay alone,5
1627,I feel disconnected from people,No major change noticed,6
1628,I feel motivated and energetic,Appears emotionally distant,7
1629,I feel anxious most of the day,Appears emotionally distant,3
1630,I feel fine and stable,He avoids family and sleeps a lot,3
1631,I feel stressed and overwhelmed,Appears emotionally distant,6
1632,I feel sad without any clear reason,No major change noticed,8
1633,I feel motivated and energetic,Appears emotionally distant,6
1634,I feel emotionally numb,He avoids family and sleeps a lot,3
1635,I feel worried about everything,Seems happy and social,9
1636,I feel stressed and overwhelmed,Appears emotionally distant,4
1637,I feel worried about everything,Seems happy and social,2
1638,I feel calm and normal,She seems withdrawn and quiet,10
1639,I feel anxious most of the day,Often prefers to stay alone,10
1640,I feel disconnected from people,Often prefers to stay alone,9
1641,I feel disconnected from people,He avoids family and sleeps a lot,2
1642,I feel anxious most of the day,No major change noticed,3
1643,I feel anxious most of the day,Mood fluctuates frequently,1
1644,I feel sad without any clear reason,He avoids family and sleeps a lot,9
1645,I feel sad without any clear reason,Actively interacts with family,5
1646,I feel calm and normal,Behavior appears normal,1
1647,I feel worried about everything,Often prefers to stay alone,8
1648,I feel stressed and overwhelmed,He avoids family and sleeps a lot,1
1649,I feel fine and stable,Seems happy and social,7
1650,I feel calm and normal,Mood fluctuates frequently,1
1651,I feel fine and stable,Appears emotionally distant,7
1652,I feel worried about everything,He avoids family and sleeps a lot,5
1653,I feel fine and stable,Seems happy and social,7
1654,I feel anxious most of the day,Appears emotionally distant,4
1655,I feel worried about everything,He avoids family and sleeps a lot,7
1656,I feel sad without any clear reason,Mood fluctuates frequently,7
1657,I feel tired and hopeless,Mood fluctuates frequently,7
1658,I feel tired and hopeless,Appears emotionally distant,5
1659,I feel stressed and overwhelmed,Often prefers to stay alone,4
1660,I feel sad without any clear reason,Often prefers to stay alone,10
1661,I feel sad without any clear reason,Appears emotionally distant,10
1662,I feel fine and stable,No major change noticed,8
1663,I feel calm and normal,Shows signs of irritability,7
1664,I feel worried about everything,He avoids family and sleeps a lot,3
1665,I feel anxious most of the day,Often prefers to stay alone,6
1666,I feel sad without any clear reason,Actively interacts with family,3
1667,I feel anxious most of the day,Actively interacts with family,6
1668,I feel motivated and energetic,Mood fluctuates frequently,3
1669,I feel emotionally numb,Shows signs of irritability,7
1670,I feel worried about everything,No major change noticed,6
1671,I feel motivated and energetic,He avoids family and sleeps a lot,7
1672,I feel anxious most of the day,Often prefers to stay alone,3
1673,I feel emotionally numb,No major change noticed,9
1674,I feel emotionally numb,Behavior appears normal,2
1675,I feel worried about everything,Shows signs of irritability,4
1676,I feel emotionally numb,Mood fluctuates frequently,3
1677,I feel sad without any clear reason,Appears emotionally distant,9
1678,I feel worried about everything,No major change noticed,2
1679,I feel tired and hopeless,Actively interacts with family,7
1680,I feel sad without any clear reason,Actively interacts with family,9
1681,I feel emotionally numb,Shows signs of irritability,3
1682,I feel sad without any clear reason,Mood fluctuates frequently,1
1683,I feel disconnected from people,She seems withdrawn and quiet,6
1684,I feel fine and stable,Often prefers to stay alone,9
1685,I feel worried about everything,She seems withdrawn and quiet,9
1686,I feel stressed and overwhelmed,Actively interacts with family,8
1687,I feel anxious most of the day,No major change noticed,8
1688,I feel emotionally numb,Mood fluctuates frequently,3
1689,I feel disconnected from people,Actively interacts with family,3
1690,I feel fine and stable,No major change noticed,6
1691,I feel stressed and overwhelmed,Often prefers to stay alone,5
1692,I feel disconnected from people,He avoids family and sleeps a lot,7
1693,I feel emotionally numb,Appears emotionally distant,2
1694,I feel sad without any clear reason,Actively interacts with family,6
1695,I feel disconnected from people,Mood fluctuates frequently,3
1696,I feel emotionally numb,Actively interacts with family,5
1697,I feel anxious most of the day,Behavior appears normal,4
1698,I feel calm and normal,Often prefers to stay alone,10
1699,I feel anxious most of the day,No major change noticed,6
1700,I feel calm and normal,He avoids family and sleeps a lot,3
1701,I feel stressed and overwhelmed,He avoids family and sleeps a lot,7
1702,I feel sad without any clear reason,He avoids family and sleeps a lot,9
1703,I feel tired and hopeless,No major change noticed,5
1704,I feel fine and stable,Actively interacts with family,1
1705,I feel disconnected from people,Mood fluctuates frequently,1
1706,I feel sad without any clear reason,She seems withdrawn and quiet,7
1707,I feel motivated and energetic,Behavior appears normal,2
1708,I feel motivated and energetic,Often prefers to stay alone,4
1709,I feel calm and normal,Mood fluctuates frequently,5
1710,I feel fine and stable,Mood fluctuates frequently,5
1711,I feel motivated and energetic,Appears emotionally distant,6
1712,I feel fine and stable,Shows signs of irritability,6
1713,I feel motivated and energetic,No major change noticed,8
1714,I feel calm and normal,Seems happy and social,8
1715,I feel emotionally numb,Appears emotionally distant,8
1716,I feel worried about everything,Behavior appears normal,10
1717,I feel motivated and energetic,Seems happy and social,2
1718,I feel stressed and overwhelmed,Often prefers to stay alone,9
1719,I feel calm and normal,She seems withdrawn and quiet,8
1720,I feel tired and hopeless,Often prefers to stay alone,8
1721,I feel disconnected from people,Mood fluctuates frequently,10
1722,I feel worried about everything,Behavior appears normal,4
1723,I feel sad without any clear reason,Behavior appears normal,2
1724,I feel anxious most of the day,Behavior appears normal,8
1725,I feel fine and stable,Behavior appears normal,9
1726,I feel sad without any clear reason,Shows signs of irritability,3
1727,I feel sad without any clear reason,No major change noticed,7
1728,I feel emotionally numb,Often prefers to stay alone,2
1729,I feel emotionally numb,She seems withdrawn and quiet,7
1730,I feel anxious most of the day,Behavior appears normal,5
1731,I feel sad without any clear reason,He avoids family and sleeps a lot,3
1732,I feel motivated and energetic,He avoids family and sleeps a lot,7
1733,I feel calm and normal,Actively interacts with family,6
1734,I feel motivated and energetic,Often prefers to stay alone,9
1735,I feel calm and normal,He avoids family and sleeps a lot,10
1736,I feel fine and stable,He avoids family and sleeps a lot,3
1737,I feel fine and stable,She seems withdrawn and quiet,3
1738,I feel motivated and energetic,Appears emotionally distant,1
1739,I feel fine and stable,Actively interacts with family,10
1740,I feel anxious most of the day,She seems withdrawn and quiet,7
1741,I feel stressed and overwhelmed,Often prefers to stay alone,6
1742,I feel sad without any clear reason,Often prefers to stay alone,4
1743,I feel fine and stable,Seems happy and social,4
1744,I feel tired and hopeless,Seems happy and social,1
1745,I feel worried about everything,No major change noticed,10
1746,I feel stressed and overwhelmed,Behavior appears normal,9
1747,I feel stressed and overwhelmed,He avoids family and sleeps a lot,8
1748,I feel sad without any clear reason,Shows signs of irritability,9
1749,I feel anxious most of the day,He avoids family and sleeps a lot,3
1750,I feel sad without any clear reason,He avoids family and sleeps a lot,6
1751,I feel tired and hopeless,Behavior appears normal,4
1752,I feel disconnected from people,Mood fluctuates frequently,8
1753,I feel sad without any clear reason,No major change noticed,5
1754,I feel emotionally numb,Often prefers to stay alone,7
1755,I feel emotionally numb,Seems happy and social,4
1756,I feel fine and stable,She seems withdrawn and quiet,3
1757,I feel tired and hopeless,Behavior appears normal,4
1758,I feel worried about everything,Often prefers to stay alone,8
1759,I feel disconnected from people,Seems happy and social,8
1760,I feel emotionally numb,He avoids family and sleeps a lot,5
1761,I feel calm and normal,He avoids family and sleeps a lot,2
1762,I feel stressed and overwhelmed,Shows signs of irritability,3
1763,I feel emotionally numb,Mood fluctuates frequently,7
1764,I feel emotionally numb,Mood fluctuates frequently,6
1765,I feel stressed and overwhelmed,Behavior appears normal,3
1766,I feel emotionally numb,Seems happy and social,10
1767,I feel sad without any clear reason,Appears emotionally distant,8
1768,I feel stressed and overwhelmed,Behavior appears normal,4
1769,I feel tired and hopeless,Actively interacts with family,2
1770,I feel fine and stable,Appears emotionally distant,1
1771,I feel anxious most of the day,No major change noticed,7
1772,I feel calm and normal,Mood fluctuates frequently,1
1773,I feel worried about everything,Seems happy and social,10
1774,I feel anxious most of the day,Behavior appears normal,10
1775,I feel stressed and overwhelmed,Seems happy and social,7
1776,I feel sad without any clear reason,Appears emotionally distant,5
1777,I feel worried about everything,Seems happy and social,10
1778,I feel emotionally numb,Seems happy and social,3
1779,I feel emotionally numb,He avoids family and sleeps a lot,3
1780,I feel tired and hopeless,Appears emotionally distant,6
1781,I feel anxious most of the day,Appears emotionally distant,9
1782,I feel tired and hopeless,Mood fluctuates frequently,2
1783,I feel emotionally numb,Behavior appears normal,5
1784,I feel calm and normal,He avoids family and sleeps a lot,7
1785,I feel motivated and energetic,Often prefers to stay alone,2
1786,I feel worried about everything,Actively interacts with family,9
1787,I feel fine and stable,He avoids family and sleeps a lot,8
1788,I feel worried about everything,She seems withdrawn and quiet,4
1789,I feel emotionally numb,Actively interacts with family,8
1790,I feel tired and hopeless,She seems withdrawn and quiet,3
1791,I feel tired and hopeless,He avoids family and sleeps a lot,6
1792,I feel stressed and overwhelmed,Mood fluctuates frequently,7
1793,I feel calm and normal,Actively interacts with family,1
1794,I feel motivated and energetic,Seems happy and social,5
1795,I feel worried about everything,Appears emotionally distant,10
1796,I feel emotionally numb,He avoids family and sleeps a lot,4
1797,I feel fine and stable,Appears emotionally distant,5
1798,I feel motivated and energetic,Behavior appears normal,2
1799,I feel calm and normal,Actively interacts with family,10
1800,I feel emotionally numb,Mood fluctuates frequently,5
1801,I feel motivated and energetic,No major change noticed,4
1802,I feel fine and stable,Seems happy and social,10
1803,I feel worried about everything,No major change noticed,4
1804,I feel tired and hopeless,She seems withdrawn and quiet,10
1805,I feel motivated and energetic,Actively interacts with family,7
1806,I feel tired and hopeless,Behavior appears normal,2
1807,I feel worried about everything,Often prefers to stay alone,9
1808,I feel fine and stable,She seems withdrawn and quiet,9
1809,I feel tired and hopeless,Appears emotionally distant,2
1810,I feel calm and normal,Actively interacts with family,7
1811,I feel calm and normal,He avoids family and sleeps a lot,9
1812,I feel anxious most of the day,Behavior appears normal,1
1813,I feel emotionally numb,Mood fluctuates frequently,9
1814,I feel anxious most of the day,Appears emotionally distant,3
1815,I feel calm and normal,No major change noticed,4
1816,I feel emotionally numb,Often prefers to stay alone,2
1817,I feel sad without any clear reason,Often prefers to stay alone,10
1818,I feel stressed and overwhelmed,Often prefers to stay alone,1
1819,I feel fine and stable,Actively interacts with family,4
1820,I feel stressed and overwhelmed,Appears emotionally distant,2
1821,I feel disconnected from people,Shows signs of irritability,8
1822,I feel worried about everything,He avoids family and sleeps a lot,9
1823,I feel fine and stable,Shows signs of irritability,3
1824,I feel fine and stable,Behavior appears normal,3
1825,I feel fine and stable,She seems withdrawn and quiet,10
1826,I feel fine and stable,Appears emotionally distant,3
1827,I feel disconnected from people,Seems happy and social,2
1828,I feel disconnected from people,Shows signs of irritability,9
1829,I feel worried about everything,Appears emotionally distant,6
1830,I feel disconnected from people,Shows signs of irritability,6
1831,I feel fine and stable,Actively interacts with family,9
1832,I feel disconnected from people,Mood fluctuates frequently,4
1833,I feel stressed and overwhelmed,Behavior appears normal,8
1834,I feel calm and normal,Appears emotionally distant,5
1835,I feel anxious most of the day,Mood fluctuates frequently,8
1836,I feel motivated and energetic,Seems happy and social,1
1837,I feel anxious most of the day,Shows signs of irritability,1
1838,I feel fine and stable,Seems happy and social,4
1839,I feel sad without any clear reason,Seems happy and social,9
1840,I feel worried about everything,Seems happy and social,1
1841,I feel tired and hopeless,No major change noticed,8
1842,I feel emotionally numb,Actively interacts with family,6
1843,I feel tired and hopeless,Seems happy and social,7
1844,I feel motivated and energetic,Behavior appears normal,8
1845,I feel anxious most of the day,Mood fluctuates frequently,10
1846,I feel disconnected from people,She seems withdrawn and quiet,2
1847,I feel tired and hopeless,He avoids family and sleeps a lot,3
1848,I feel disconnected from people,Often prefers to stay alone,4
1849,I feel disconnected from people,Mood fluctuates frequently,6
1850,I feel disconnected from people,She seems withdrawn and quiet,2
1851,I feel disconnected from people,Behavior appears normal,2
1852,I feel disconnected from people,Shows signs of irritability,10
1853,I feel disconnected from people,She seems withdrawn and quiet,9
1854,I feel disconnected from people,He avoids family and sleeps a lot,7
1855,I feel fine and stable,No major change noticed,8
1856,I feel anxious most of the day,Shows signs of irritability,8
1857,I feel anxious most of the day,No major change noticed,6
1858,I feel anxious most of the day,No major change noticed,5
1859,I feel emotionally numb,No major change noticed,10
1860,I feel sad without any clear reason,No major change noticed,4
1861,I feel calm and normal,Often prefers to stay alone,10
1862,I feel disconnected from people,Often prefers to stay alone,4
1863,I feel sad without any clear reason,Appears emotionally distant,8
1864,I feel motivated and energetic,Appears emotionally distant,5
1865,I feel emotionally numb,Behavior appears normal,5
1866,I feel sad without any clear reason,Shows signs of irritability,4
1867,I feel emotionally numb,Actively interacts with family,5
1868,I feel tired and hopeless,Mood fluctuates frequently,5
1869,I feel calm and normal,Mood fluctuates frequently,7
1870,I feel stressed and overwhelmed,Seems happy and social,8
1871,I feel emotionally numb,Appears emotionally distant,4
1872,I feel worried about everything,Actively interacts with family,6
1873,I feel stressed and overwhelmed,Actively interacts with family,7
1874,I feel fine and stable,Shows signs of irritability,8
1875,I feel tired and hopeless,Often prefers to stay alone,7
1876,I feel stressed and overwhelmed,Behavior appears normal,8
1877,I feel calm and normal,She seems withdrawn and quiet,10
1878,I feel anxious most of the day,Appears emotionally distant,9
1879,I feel disconnected from people,Appears emotionally distant,4
1880,I feel fine and stable,Appears emotionally distant,2
1881,I feel worried about everything,Shows signs of irritability,1
1882,I feel stressed and overwhelmed,Often prefers to stay alone,10
1883,I feel emotionally numb,He avoids family and sleeps a lot,10
1884,I feel calm and normal,Behavior appears normal,8
1885,I feel sad without any clear reason,She seems withdrawn and quiet,6
1886,I feel fine and stable,She seems withdrawn and quiet,8
1887,I feel worried about everything,Often prefers to stay alone,2
1888,I feel emotionally numb,Often prefers to stay alone,1
1889,I feel stressed and overwhelmed,Seems happy and social,7
1890,I feel calm and normal,He avoids family and sleeps a lot,7
1891,I feel motivated and energetic,Mood fluctuates frequently,1
1892,I feel worried about everything,Actively interacts with family,2
1893,I feel sad without any clear reason,Mood fluctuates frequently,10
1894,I feel worried about everything,No major change noticed,6
1895,I feel worried about everything,Shows signs of irritability,10
1896,I feel stressed and overwhelmed,Actively interacts with family,4
1897,I feel disconnected from people,Appears emotionally distant,8
1898,I feel disconnected from people,He avoids family and sleeps a lot,2
1899,I feel fine and stable,Often prefers to stay alone,9
1900,I feel fine and stable,He avoids family and sleeps a lot,7
1901,I feel sad without any clear reason,Actively interacts with family,6
1902,I feel fine and stable,Appears emotionally distant,10
1903,I feel motivated and energetic,Often prefers to stay alone,2
1904,I feel tired and hopeless,Behavior appears normal,10
1905,I feel worried about everything,He avoids family and sleeps a lot,10
1906,I feel worried about everything,He avoids family and sleeps a lot,2
1907,I feel anxious most of the day,Seems happy and social,2
1908,I feel motivated and energetic,She seems withdrawn and quiet,10
1909,I feel fine and stable,Shows signs of irritability,3
1910,I feel anxious most of the day,Appears emotionally distant,8
1911,I feel sad without any clear reason,Shows signs of irritability,4
1912,I feel worried about everything,Appears emotionally distant,8
1913,I feel fine and stable,No major change noticed,9
1914,I feel motivated and energetic,Seems happy and social,10
1915,I feel motivated and energetic,Actively interacts with family,8
1916,I feel stressed and overwhelmed,No major change noticed,4
1917,I feel sad without any clear reason,Seems happy and social,2
1918,I feel calm and normal,Seems happy and social,8
1919,I feel motivated and energetic,Shows signs of irritability,2
1920,I feel emotionally numb,No major change noticed,10
1921,I feel sad without any clear reason,Mood fluctuates frequently,4
1922,I feel fine and stable,Mood fluctuates frequently,8
1923,I feel emotionally numb,Mood fluctuates frequently,4
1924,I feel calm and normal,Shows signs of irritability,8
1925,I feel calm and normal,Behavior appears normal,3
1926,I feel anxious most of the day,He avoids family and sleeps a lot,6
1927,I feel anxious most of the day,Shows signs of irritability,8
1928,I feel motivated and energetic,Shows signs of irritability,1
1929,I feel worried about everything,Appears emotionally distant,6
1930,I feel calm and normal,No major change noticed,7
1931,I feel worried about everything,He avoids family and sleeps a lot,4
1932,I feel calm and normal,Seems happy and social,1
1933,I feel tired and hopeless,Often prefers to stay alone,7
1934,I feel tired and hopeless,Behavior appears normal,1
1935,I feel sad without any clear reason,Behavior appears normal,10
1936,I feel worried about everything,Often prefers to stay alone,2
1937,I feel disconnected from people,Mood fluctuates frequently,10
1938,I feel calm and normal,Actively interacts with family,10
1939,I feel sad without any clear reason,She seems withdrawn and quiet,9
1940,I feel motivated and energetic,Shows signs of irritability,1
1941,I feel fine and stable,Actively interacts with family,1
1942,I feel disconnected from people,He avoids family and sleeps a lot,7
1943,I feel stressed and overwhelmed,No major change noticed,10
1944,I feel worried about everything,She seems withdrawn and quiet,6
1945,I feel sad without any clear reason,Seems happy and social,2
1946,I feel anxious most of the day,Actively interacts with family,4
1947,I feel fine and stable,Actively interacts with family,5
1948,I feel calm and normal,Appears emotionally distant,10
1949,I feel worried about everything,No major change noticed,1
1950,I feel tired and hopeless,He avoids family and sleeps a lot,10
1951,I feel fine and stable,She seems withdrawn and quiet,5
1952,I feel motivated and energetic,He avoids family and sleeps a lot,9
1953,I feel sad without any clear reason,She seems withdrawn and quiet,9
1954,I feel fine and stable,Seems happy and social,7
1955,I feel calm and normal,Often prefers to stay alone,6
1956,I feel disconnected from people,Mood fluctuates frequently,6
1957,I feel tired and hopeless,Actively interacts with family,6
1958,I feel disconnected from people,Actively interacts with family,2
1959,I feel tired and hopeless,Actively interacts with family,5
1960,I feel calm and normal,Often prefers to stay alone,9
1961,I feel anxious most of the day,Behavior appears normal,9
1962,I feel disconnected from people,Behavior appears normal,8
1963,I feel fine and stable,Behavior appears normal,9
1964,I feel stressed and overwhelmed,No major change noticed,4
1965,I feel tired and hopeless,Mood fluctuates frequently,6
1966,I feel disconnected from people,He avoids family and sleeps a lot,4
1967,I feel fine and stable,Mood fluctuates frequently,6
1968,I feel worried about everything,Appears emotionally distant,5
1969,I feel fine and stable,Seems happy and social,9
1970,I feel fine and stable,Seems happy and social,10
1971,I feel motivated and energetic,He avoids family and sleeps a lot,10
1972,I feel sad without any clear reason,Mood fluctuates frequently,1
1973,I feel anxious most of the day,Appears emotionally distant,4
1974,I feel calm and normal,He avoids family and sleeps a lot,4
1975,I feel calm and normal,Mood fluctuates frequently,8
1976,I feel fine and stable,Shows signs of irritability,6
1977,I feel calm and normal,Mood fluctuates frequently,10
1978,I feel emotionally numb,Mood fluctuates frequently,5
1979,I feel emotionally numb,No major change noticed,4
1980,I feel motivated and energetic,Mood fluctuates frequently,4
1981,I feel sad without any clear reason,Often prefers to stay alone,10
1982,I feel worried about everything,Actively interacts with family,2
1983,I feel fine and stable,She seems withdrawn and quiet,4
1984,I feel sad without any clear reason,He avoids family and sleeps a lot,4
1985,I feel fine and stable,He avoids family and sleeps a lot,1
1986,I feel fine and stable,Appears emotionally distant,6
1987,I feel fine and stable,No major change noticed,3
1988,I feel calm and normal,Shows signs of irritability,4
1989,I feel stressed and overwhelmed,Behavior appears normal,5
1990,I feel tired and hopeless,She seems withdrawn and quiet,3
1991,I feel calm and normal,Often prefers to stay alone,5
1992,I feel sad without any clear reason,Shows signs of irritability,2
1993,I feel tired and hopeless,Appears emotionally distant,3
1994,I feel worried about everything,He avoids family and sleeps a lot,10
1995,I feel worried about everything,Often prefers to stay alone,8
1996,I feel motivated and energetic,She seems withdrawn and quiet,5
1997,I feel anxious most of the day,No major change noticed,10
1998,I feel stressed and overwhelmed,He avoids family and sleeps a lot,9
1999,I feel calm and normal,No major change noticed,10
2000,I feel anxious most of the day,No major change noticed,10
2001,I feel sad without any clear reason,Seems happy and social,5
2002,I feel tired and hopeless,Seems happy and social,5
2003,I feel calm and normal,Appears emotionally distant,2
2004,I feel tired and hopeless,She seems withdrawn and quiet,9
2005,I feel worried about everything,Appears emotionally distant,5
2006,I feel calm and normal,No major change noticed,3
2007,I feel fine and stable,He avoids family and sleeps a lot,4
2008,I feel worried about everything,Seems happy and social,5
2009,I feel tired and hopeless,Seems happy and social,8
2010,I feel sad without any clear reason,He avoids family and sleeps a lot,3
2011,I feel motivated and energetic,Behavior appears normal,2
2012,I feel sad without any clear reason,Behavior appears normal,7
2013,I feel fine and stable,No major change noticed,6
2014,I feel worried about everything,He avoids family and sleeps a lot,3
2015,I feel sad without any clear reason,She seems withdrawn and quiet,6
2016,I feel sad without any clear reason,Actively interacts with family,10
2017,I feel emotionally numb,Often prefers to stay alone,7
2018,I feel motivated and energetic,Seems happy and social,9
2019,I feel stressed and overwhelmed,Mood fluctuates frequently,7
2020,I feel emotionally numb,No major change noticed,2
2021,I feel disconnected from people,Mood fluctuates frequently,3
2022,I feel emotionally numb,She seems withdrawn and quiet,9
2023,I feel fine and stable,He avoids family and sleeps a lot,10
2024,I feel tired and hopeless,Actively interacts with family,2
2025,I feel fine and stable,Often prefers to stay alone,5
2026,I feel calm and normal,Shows signs of irritability,6
2027,I feel sad without any clear reason,No major change noticed,2
2028,I feel motivated and energetic,Seems happy and social,6
2029,I feel disconnected from people,Behavior appears normal,2
2030,I feel calm and normal,No major change noticed,8
2031,I feel calm and normal,Seems happy and social,6
2032,I feel worried about everything,Appears emotionally distant,7
2033,I feel worried about everything,No major change noticed,4
2034,I feel motivated and energetic,Shows signs of irritability,6
2035,I feel motivated and energetic,Actively interacts with family,2
2036,I feel emotionally numb,She seems withdrawn and quiet,9
2037,I feel disconnected from people,Behavior appears normal,4
2038,I feel worried about everything,Behavior appears normal,4
2039,I feel stressed and overwhelmed,Appears emotionally distant,5
2040,I feel calm and normal,Actively interacts with family,2
2041,I feel tired and hopeless,She seems withdrawn and quiet,3
2042,I feel tired and hopeless,Seems happy and social,10
2043,I feel emotionally numb,He avoids family and sleeps a lot,9
2044,I feel anxious most of the day,Shows signs of irritability,9
2045,I feel anxious most of the day,She seems withdrawn and quiet,10
2046,I feel sad without any clear reason,Behavior appears normal,10
2047,I feel tired and hopeless,Behavior appears normal,9
2048,I feel tired and hopeless,He avoids family and sleeps a lot,7
2049,I feel worried about everything,She seems withdrawn and quiet,5
2050,I feel calm and normal,Seems happy and social,1
2051,I feel worried about everything,No major change noticed,5
2052,I feel stressed and overwhelmed,Behavior appears normal,1
2053,I feel calm and normal,Shows signs of irritability,10
2054,I feel fine and stable,Actively interacts with family,2
2055,I feel disconnected from people,Seems happy and social,4
2056,I feel motivated and energetic,Behavior appears normal,2
2057,I feel tired and hopeless,Mood fluctuates frequently,1
2058,I feel stressed and overwhelmed,Often prefers to stay alone,4
2059,I feel sad without any clear reason,He avoids family and sleeps a lot,3
2060,I feel disconnected from people,She seems withdrawn and quiet,2
2061,I feel emotionally numb,Appears emotionally distant,1
2062,I feel disconnected from people,Seems happy and social,7
2063,I feel motivated and energetic,Shows signs of irritability,9
2064,I feel calm and normal,Often prefers to stay alone,5
2065,I feel disconnected from people,He avoids family and sleeps a lot,8
2066,I feel stressed and overwhelmed,Shows signs of irritability,2
2067,I feel emotionally numb,Actively interacts with family,9
2068,I feel sad without any clear reason,He avoids family and sleeps a lot,6
2069,I feel worried about everything,Often prefers to stay alone,2
2070,I feel sad without any clear reason,Actively interacts with family,2
2071,I feel disconnected from people,Seems happy and social,8
2072,I feel sad without any clear reason,No major change noticed,8
2073,I feel disconnected from people,Mood fluctuates frequently,5
2074,I feel emotionally numb,Appears emotionally distant,5
2075,I feel fine and stable,Seems happy and social,9
2076,I feel emotionally numb,Seems happy and social,1
2077,I feel sad without any clear reason,Actively interacts with family,10
2078,I feel anxious most of the day,Actively interacts with family,8
2079,I feel emotionally numb,She seems withdrawn and quiet,9
2080,I feel calm and normal,No major change noticed,7
2081,I feel stressed and overwhelmed,Behavior appears normal,8
2082,I feel anxious most of the day,Mood fluctuates frequently,8
2083,I feel fine and stable,No major change noticed,5
2084,I feel motivated and energetic,Often prefers to stay alone,2
2085,I feel anxious most of the day,Behavior appears normal,8
2086,I feel tired and hopeless,Mood fluctuates frequently,6
2087,I feel tired and hopeless,He avoids family and sleeps a lot,5
2088,I feel fine and stable,Seems happy and social,10
2089,I feel calm and normal,She seems withdrawn and quiet,6
2090,I feel disconnected from people,Appears emotionally distant,10
2091,I feel motivated and energetic,No major change noticed,7
2092,I feel tired and hopeless,No major change noticed,5
2093,I feel emotionally numb,Behavior appears normal,6
2094,I feel calm and normal,She seems withdrawn and quiet,6
2095,I feel tired and hopeless,She seems withdrawn and quiet,2
2096,I feel fine and stable,Mood fluctuates frequently,2
2097,I feel worried about everything,No major change noticed,6
2098,I feel motivated and energetic,Often prefers to stay alone,6
2099,I feel tired and hopeless,No major change noticed,7
2100,I feel calm and normal,Seems happy and social,7
2101,I feel sad without any clear reason,Often prefers to stay alone,10
2102,I feel tired and hopeless,Behavior appears normal,2
2103,I feel sad without any clear reason,Appears emotionally distant,5
2104,I feel fine and stable,Actively interacts with family,2
2105,I feel stressed and overwhelmed,Shows signs of irritability,1
2106,I feel fine and stable,She seems withdrawn and quiet,5
